ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AFR,ZAF,SEX_FMLE,1.2 [1.0-1.4],1.2,2021-06-21T19:00:41+02:00,NCD_CHOL_MEANHDL_A
AFR,SLE,SEX_FMLE,1.1 [0.9-1.3],1.1,2021-06-21T19:00:36+02:00,NCD_CHOL_MEANHDL_A
AMR,JAM,SEX_BTSX,1.2 [1.1-1.3],1.2,2021-06-21T19:09:02+02:00,NCD_CHOL_MEANHDL_A
,AFR,SEX_MLE,1.1 [0.9-1.2],1.1,2021-06-21T17:35:34+02:00,NCD_CHOL_MEANHDL_A
EMR,MAR,SEX_BTSX,1.1 [1.0-1.2],1.1,2021-06-21T19:09:39+02:00,NCD_CHOL_MEANHDL_A
EUR,BIH,SEX_MLE,1.3 [1.1-1.5],1.3,2021-06-21T18:38:50+02:00,NCD_CHOL_MEANHDL_A
EMR,LBY,SEX_MLE,1.0 [0.7-1.2],1.0,2021-06-21T18:39:56+02:00,NCD_CHOL_MEANHDL_A
EUR,SWE,SEX_FMLE,1.6 [1.5-1.6],1.6,2021-06-21T19:00:47+02:00,NCD_CHOL_MEANHDL_A
EUR,GRC,SEX_MLE,1.3 [1.1-1.4],1.3,2021-06-21T18:39:31+02:00,NCD_CHOL_MEANHDL_A
EUR,SWE,SEX_FMLE,1.7 [1.6-1.8],1.7,2021-06-21T19:00:48+02:00,NCD_CHOL_MEANHDL_A
,EUR,SEX_BTSX,1.4 [1.3-1.4],1.4,2021-06-21T17:36:31+02:00,NCD_CHOL_MEANHDL_A
EUR,CYP,SEX_BTSX,1.4 [1.2-1.5],1.4,2021-06-21T19:07:00+02:00,NCD_CHOL_MEANHDL_A
EMR,BHR,SEX_MLE,1.0 [0.7-1.2],1.0,2021-06-21T18:38:40+02:00,NCD_CHOL_MEANHDL_A
EUR,ISL,SEX_MLE,1.3 [1.2-1.4],1.3,2021-06-21T18:39:38+02:00,NCD_CHOL_MEANHDL_A
AFR,CMR,SEX_BTSX,1.1 [0.9-1.2],1.1,2021-06-21T19:09:09+02:00,NCD_CHOL_MEANHDL_A
EUR,LUX,SEX_MLE,1.3 [1.2-1.5],1.3,2021-06-21T18:39:58+02:00,NCD_CHOL_MEANHDL_A
AFR,SLE,SEX_FMLE,1.1 [0.9-1.3],1.1,2021-06-21T19:00:36+02:00,NCD_CHOL_MEANHDL_A
AFR,RWA,SEX_FMLE,1.0 [0.9-1.2],1.0,2021-06-21T19:00:26+02:00,NCD_CHOL_MEANHDL_A
AFR,KEN,SEX_FMLE,1.1 [0.9-1.3],1.1,2021-06-21T18:59:36+02:00,NCD_CHOL_MEANHDL_A
AFR,GIN,SEX_FMLE,1.1 [0.8-1.3],1.1,2021-06-21T18:59:20+02:00,NCD_CHOL_MEANHDL_A
AMR,GTM,SEX_BTSX,1.0 [0.9-1.1],1.0,2021-06-21T19:07:33+02:00,NCD_CHOL_MEANHDL_A
EUR,IRL,SEX_BTSX,1.4 [1.4-1.5],1.4,2021-06-21T19:09:10+02:00,NCD_CHOL_MEANHDL_A
EMR,ARE,SEX_FMLE,1.1 [0.9-1.3],1.1,2021-06-21T19:01:02+02:00,NCD_CHOL_MEANHDL_A
WPR,SLB,SEX_FMLE,1.2 [1.0-1.3],1.2,2021-06-21T19:00:39+02:00,NCD_CHOL_MEANHDL_A
AMR,HTI,SEX_BTSX,1.2 [1.1-1.3],1.2,2021-06-21T19:08:07+02:00,NCD_CHOL_MEANHDL_A
EMR,OMN,SEX_FMLE,1.3 [1.2-1.4],1.3,2021-06-21T19:00:14+02:00,NCD_CHOL_MEANHDL_A
SEAR,MDV,SEX_BTSX,1.1 [1.0-1.3],1.1,2021-06-21T19:07:09+02:00,NCD_CHOL_MEANHDL_A
WPR,FSM,SEX_FMLE,1.1 [0.9-1.3],1.1,2021-06-21T18:59:56+02:00,NCD_CHOL_MEANHDL_A
AFR,NAM,SEX_MLE,1.2 [1.0-1.4],1.2,2021-06-21T18:40:15+02:00,NCD_CHOL_MEANHDL_A
EUR,ITA,SEX_MLE,1.3 [1.3-1.3],1.3,2021-06-21T18:39:44+02:00,NCD_CHOL_MEANHDL_A
AMR,CHL,SEX_FMLE,1.2 [1.1-1.3],1.2,2021-06-21T18:58:46+02:00,NCD_CHOL_MEANHDL_A
,WB_HI,SEX_FMLE,1.6 [1.5-1.6],1.6,2021-06-21T18:17:47+02:00,NCD_CHOL_MEANHDL_A
EUR,IRL,SEX_FMLE,1.5 [1.3-1.8],1.5,2021-06-21T18:59:30+02:00,NCD_CHOL_MEANHDL_A
AMR,GUY,SEX_MLE,1.2 [1.1-1.4],1.2,2021-06-21T18:39:35+02:00,NCD_CHOL_MEANHDL_A
AMR,LCA,SEX_MLE,1.2 [1.0-1.3],1.2,2021-06-21T18:40:38+02:00,NCD_CHOL_MEANHDL_A
,WB_LMI,SEX_FMLE,1.1 [1.1-1.2],1.1,2021-06-21T18:17:47+02:00,NCD_CHOL_MEANHDL_A
AFR,ETH,SEX_BTSX,1.0 [0.9-1.2],1.0,2021-06-21T19:09:42+02:00,NCD_CHOL_MEANHDL_A
EUR,SRB,SEX_BTSX,1.4 [1.3-1.4],1.4,2021-06-21T19:07:44+02:00,NCD_CHOL_MEANHDL_A
EUR,TKM,SEX_MLE,1.2 [1.0-1.4],1.2,2021-06-21T18:41:07+02:00,NCD_CHOL_MEANHDL_A
AFR,STP,SEX_BTSX,1.1 [0.9-1.3],1.1,2021-06-21T19:09:48+02:00,NCD_CHOL_MEANHDL_A
WPR,BRN,SEX_FMLE,1.2 [1.1-1.4],1.2,2021-06-21T18:58:37+02:00,NCD_CHOL_MEANHDL_A
AFR,CMR,SEX_BTSX,1.1 [0.9-1.3],1.1,2021-06-21T19:07:20+02:00,NCD_CHOL_MEANHDL_A
,WB_HI,SEX_MLE,1.3 [1.2-1.3],1.3,2021-06-21T18:17:25+02:00,NCD_CHOL_MEANHDL_A
EUR,SVK,SEX_FMLE,1.4 [1.3-1.6],1.4,2021-06-21T19:00:37+02:00,NCD_CHOL_MEANHDL_A
EMR,SAU,SEX_MLE,1.0 [0.9-1.2],1.0,2021-06-21T18:40:41+02:00,NCD_CHOL_MEANHDL_A
EUR,BEL,SEX_FMLE,1.5 [1.4-1.6],1.5,2021-06-21T18:58:29+02:00,NCD_CHOL_MEANHDL_A
AMR,CAN,SEX_MLE,1.2 [1.1-1.3],1.2,2021-06-21T18:38:58+02:00,NCD_CHOL_MEANHDL_A
AFR,STP,SEX_BTSX,1.0 [0.9-1.2],1.0,2021-06-21T19:08:00+02:00,NCD_CHOL_MEANHDL_A
SEAR,MMR,SEX_FMLE,1.2 [1.1-1.3],1.2,2021-06-21T19:00:02+02:00,NCD_CHOL_MEANHDL_A
EUR,KAZ,SEX_FMLE,1.2 [1.0-1.4],1.2,2021-06-21T18:59:35+02:00,NCD_CHOL_MEANHDL_A
AFR,ERI,SEX_MLE,1.1 [0.8-1.3],1.1,2021-06-21T18:39:20+02:00,NCD_CHOL_MEANHDL_A
AMR,PER,SEX_MLE,1.0 [0.9-1.1],1.0,2021-06-21T18:40:30+02:00,NCD_CHOL_MEANHDL_A
AFR,TGO,SEX_FMLE,1.1 [0.9-1.3],1.1,2021-06-21T19:00:54+02:00,NCD_CHOL_MEANHDL_A
WPR,MHL,SEX_MLE,0.9 [0.8-1.1],0.9,2021-06-21T18:40:05+02:00,NCD_CHOL_MEANHDL_A
AMR,GUY,SEX_BTSX,1.3 [1.1-1.4],1.3,2021-06-21T19:07:29+02:00,NCD_CHOL_MEANHDL_A
WPR,PHL,SEX_BTSX,1.1 [1.0-1.1],1.1,2021-06-21T19:09:19+02:00,NCD_CHOL_MEANHDL_A
EMR,ARE,SEX_MLE,1.0 [0.8-1.2],1.0,2021-06-21T18:41:11+02:00,NCD_CHOL_MEANHDL_A
