ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
EMR,DJI,SEX_BTSX,15.2,15.2,2023-12-07T16:58:56+01:00,Yth_curr_tob_use
SEAR,MMR,SEX_MLE,26.3,26.3,2023-12-07T16:59:05+01:00,Yth_curr_tob_use
AMR,CAN,SEX_FMLE,7,7.0,2023-12-07T16:58:57+01:00,Yth_curr_tob_use
AMR,VEN,SEX_FMLE,12.3,12.3,2023-12-07T16:59:19+01:00,Yth_curr_tob_use
WPR,PHL,SEX_FMLE,6.9,6.9,2023-12-07T16:58:56+01:00,Yth_curr_tob_use
EUR,CYP,SEX_BTSX,Data not available,,2023-12-07T16:59:47+01:00,Yth_curr_tob_use
AMR,JAM,SEX_FMLE,15,15.0,2023-12-07T16:58:57+01:00,Yth_curr_tob_use
AMR,BRA,SEX_MLE,Data not available,,2023-12-07T16:59:30+01:00,Yth_curr_tob_use
EUR,ITA,SEX_BTSX,Data not available,,2023-12-07T16:59:28+01:00,Yth_curr_tob_use
SEAR,TLS,SEX_MLE,42,42.0,2023-12-07T16:59:05+01:00,Yth_curr_tob_use
EUR,LUX,SEX_MLE,Data not available,,2023-12-07T16:59:39+01:00,Yth_curr_tob_use
EUR,CYP,SEX_MLE,Data not available,,2023-12-07T16:59:30+01:00,Yth_curr_tob_use
AFR,LSO,SEX_MLE,26.4,26.4,2023-12-07T16:58:56+01:00,Yth_curr_tob_use
EUR,TKM,SEX_BTSX,0.3,0.3,2023-12-07T16:58:58+01:00,Yth_curr_tob_use
EUR,DNK,SEX_BTSX,Data not available,,2023-12-07T16:59:43+01:00,Yth_curr_tob_use
WPR,TON,SEX_FMLE,8.4,8.4,2023-12-07T16:59:12+01:00,Yth_curr_tob_use
EUR,NLD,SEX_MLE,Data not available,,2023-12-07T16:59:52+01:00,Yth_curr_tob_use
EUR,FRA,SEX_BTSX,Data not available,,2023-12-07T16:59:40+01:00,Yth_curr_tob_use
AMR,PRY,SEX_BTSX,8.1,8.1,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
WPR,MYS,SEX_FMLE,9.6,9.6,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
EUR,AUT,SEX_FMLE,Data not available,,2023-12-07T16:59:51+01:00,Yth_curr_tob_use
EUR,LTU,SEX_FMLE,Data not available,,2023-12-07T16:59:43+01:00,Yth_curr_tob_use
AMR,TTO,SEX_FMLE,10.8,10.8,2023-12-07T16:59:11+01:00,Yth_curr_tob_use
WPR,TUV,SEX_BTSX,21.2,21.2,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
EUR,ROU,SEX_MLE,Data not available,,2023-12-07T16:59:42+01:00,Yth_curr_tob_use
AMR,CUB,SEX_BTSX,11.5,11.5,2023-12-07T16:58:57+01:00,Yth_curr_tob_use
EUR,SRB,SEX_BTSX,Data not available,,2023-12-07T16:59:52+01:00,Yth_curr_tob_use
AFR,BEN,SEX_MLE,7.2,7.2,2023-12-07T16:59:13+01:00,Yth_curr_tob_use
AMR,PER,SEX_FMLE,5.9,5.9,2023-12-07T16:59:12+01:00,Yth_curr_tob_use
WPR,KIR,SEX_MLE,53.3,53.3,2023-12-07T16:59:12+01:00,Yth_curr_tob_use
AFR,GNQ,SEX_BTSX,22.1,22.1,2023-12-07T16:58:58+01:00,Yth_curr_tob_use
EMR,JOR,SEX_MLE,33.9,33.9,2023-12-07T16:59:12+01:00,Yth_curr_tob_use
AMR,GUY,SEX_BTSX,14.8,14.8,2023-12-07T16:58:57+01:00,Yth_curr_tob_use
WPR,SLB,SEX_MLE,30.2,30.2,2023-12-07T16:59:11+01:00,Yth_curr_tob_use
AFR,MLI,SEX_BTSX,16.6,16.6,2023-12-07T16:59:12+01:00,Yth_curr_tob_use
EUR,CHE,SEX_MLE,Data not available,,2023-12-07T16:59:47+01:00,Yth_curr_tob_use
AFR,SYC,SEX_BTSX,21.4,21.4,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
AMR,CUB,SEX_MLE,13,13.0,2023-12-07T16:59:05+01:00,Yth_curr_tob_use
AMR,PER,SEX_MLE,8.4,8.4,2023-12-07T16:59:11+01:00,Yth_curr_tob_use
AMR,KNA,SEX_MLE,10.4,10.4,2023-12-07T16:59:12+01:00,Yth_curr_tob_use
WPR,MNG,SEX_BTSX,14,14.0,2023-12-07T16:59:13+01:00,Yth_curr_tob_use
AMR,PAN,SEX_FMLE,6.2,6.2,2023-12-07T16:58:57+01:00,Yth_curr_tob_use
