ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AFR,TCD,SEX_BTSX,7.9 [5.6-10.1],7.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,ZMB,SEX_BTSX,17.8 [14.2-21.4],17.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,MHL,SEX_BTSX,29.9 [22.1-37.6],29.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,SVN,SEX_FMLE,20.4 [16.5-24.4],20.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
SEAR,MMR,SEX_MLE,82.2 [65.8-98.6],82.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,KEN,SEX_FMLE,2.4 [1.7-3.1],2.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EMR,IRN,SEX_BTSX,12.2 [7.4-17.0],12.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,SYC,SEX_FMLE,7.2 [5.4-9.0],7.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AMR,JAM,SEX_FMLE,7.8 [5.1-10.6],7.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,EST,SEX_FMLE,19.5 [14.9-24.2],19.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,NLD,SEX_BTSX,34.8 [28.9-40.7],34.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
,SEAR,SEX_FMLE,9.9 [9.0-10.9],9.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,DZA,SEX_FMLE,0.6 [0.3-0.8],0.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,CPV,SEX_BTSX,16.7 [12.3-21.1],16.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,NGA,SEX_BTSX,3.5 [2.5-4.6],3.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,SGP,SEX_BTSX,15.5 [12.7-18.3],15.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,LBR,SEX_MLE,10.7 [7.8-13.7],10.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,DNK,SEX_FMLE,35.7 [29.0-42.3],35.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,KOR,SEX_FMLE,6.7 [5.5-7.9],6.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,BEN,SEX_FMLE,3.8 [2.8-4.7],3.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,KGZ,SEX_MLE,40.9 [29.7-52.0],40.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,KGZ,SEX_BTSX,22.0 [16.0-28.0],22.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AMR,ECU,SEX_FMLE,2.4 [1.2-3.7],2.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,CYP,SEX_MLE,54.5 [39.2-69.8],54.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,CZE,SEX_FMLE,25.9 [21.4-30.4],25.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,AND,SEX_FMLE,36.0 [23.5-48.6],36.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,ISL,SEX_BTSX,24.0 [20.1-28.0],24.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,RUS,SEX_MLE,31.6 [26.0-37.1],31.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,POL,SEX_MLE,25.0 [19.7-30.3],25.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,BLR,SEX_FMLE,14.0 [10.7-17.4],14.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,SEN,SEX_MLE,23.7 [18.7-28.6],23.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EMR,BHR,SEX_FMLE,6.0 [3.1-8.8],6.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,MDG,SEX_FMLE,48.5 [30.1-66.9],48.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,PNG,SEX_FMLE,25.2 [16.5-33.9],25.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,MOZ,SEX_MLE,17.5 [12.3-22.6],17.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EMR,SAU,SEX_MLE,25.2 [19.9-30.5],25.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,DEU,SEX_MLE,26.4 [22.3-30.5],26.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,PLW,SEX_FMLE,10.9 [5.8-16.0],10.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,CZE,SEX_FMLE,28.6 [23.6-33.6],28.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AMR,HTI,SEX_BTSX,8.0 [5.1-10.9],8.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,SEN,SEX_BTSX,5.4 [4.2-6.7],5.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
SEAR,PRK,SEX_FMLE,0.0 [0.0-0.0],0.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,ETH,SEX_BTSX,5.2 [3.5-6.8],5.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,KOR,SEX_FMLE,7.1 [5.7-8.5],7.1,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,KIR,SEX_MLE,82.0 [64.9-99.1],82.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,WSM,SEX_BTSX,23.5 [15.2-31.9],23.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,STP,SEX_MLE,11.0 [8.1-13.9],11.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,MNG,SEX_MLE,57.3 [41.7-72.9],57.3,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,BGR,SEX_BTSX,40.4 [33.4-47.3],40.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,KGZ,SEX_MLE,64.0 [48.3-79.8],64.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,BGR,SEX_FMLE,33.8 [27.8-39.7],33.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,SLE,SEX_FMLE,12.4 [9.1-15.7],12.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,NER,SEX_FMLE,1.1 [0.5-1.6],1.1,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EMR,ARE,SEX_FMLE,2.6 [1.6-3.7],2.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,ZAF,SEX_FMLE,10.5 [8.1-12.9],10.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,AZE,SEX_FMLE,0.2 [0.1-0.3],0.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,GNB,SEX_BTSX,8.2 [4.9-11.4],8.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,GRC,SEX_MLE,37.6 [30.9-44.3],37.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,PRT,SEX_MLE,33.0 [27.1-38.9],33.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,DZA,SEX_FMLE,1.5 [0.9-2.2],1.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,NGA,SEX_BTSX,3.1 [2.1-4.1],3.1,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,BFA,SEX_BTSX,16.5 [12.8-20.1],16.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EMR,TUN,SEX_MLE,46.6 [37.6-55.6],46.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,MKD,SEX_FMLE,30.2 [20.5-40.0],30.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,FJI,SEX_FMLE,12.7 [8.8-16.5],12.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,PRT,SEX_FMLE,20.9 [16.7-25.1],20.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,MNE,SEX_FMLE,35.3 [21.3-49.2],35.3,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,GAB,SEX_FMLE,3.3 [1.7-4.9],3.3,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,STP,SEX_FMLE,2.1 [1.2-3.0],2.1,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,HUN,SEX_MLE,42.4 [33.9-50.9],42.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,KEN,SEX_MLE,29.8 [23.4-36.1],29.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,MHL,SEX_BTSX,28.9 [22.5-35.3],28.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,SVN,SEX_BTSX,23.4 [19.3-27.4],23.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,SRB,SEX_BTSX,40.6 [33.1-48.1],40.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,MNE,SEX_MLE,40.0 [27.3-52.8],40.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AMR,LCA,SEX_FMLE,2.8 [1.6-4.0],2.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EMR,AFG,SEX_BTSX,22.4 [15.6-29.3],22.4,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,PRT,SEX_MLE,35.5 [26.5-44.5],35.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EMR,PAK,SEX_FMLE,20.1 [13.2-27.0],20.1,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AMR,BRA,SEX_BTSX,11.5 [8.1-14.9],11.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,CIV,SEX_FMLE,1.7 [1.2-2.3],1.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,LSO,SEX_MLE,43.2 [33.7-52.8],43.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,PRT,SEX_MLE,34.8 [27.3-42.4],34.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AMR,PAN,SEX_BTSX,13.3 [10.1-16.5],13.3,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,ESP,SEX_MLE,26.5 [20.9-32.1],26.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,VNM,SEX_FMLE,3.2 [2.6-3.8],3.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,POL,SEX_BTSX,21.7 [17.0-26.3],21.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,CIV,SEX_FMLE,2.9 [1.2-4.6],2.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,GAB,SEX_FMLE,3.5 [2.2-4.8],3.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,LBR,SEX_MLE,21.0 [15.3-26.7],21.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
