ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AMR,PER,SEX_FMLE,4.8 [4.4-5.1],4.8,2021-06-21T18:48:39+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,TUR,SEX_MLE,4.6 [4.4-4.7],4.6,2021-06-21T18:29:15+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,CHL,SEX_MLE,4.7 [4.4-4.9],4.7,2021-06-21T18:26:40+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,AZE,SEX_FMLE,4.7 [4.1-5.1],4.7,2021-06-21T18:45:05+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,MWI,SEX_BTSX,3.6 [3.4-3.8],3.6,2021-06-21T19:02:54+02:00,NCD_CHOL_MEANTOTALCHOL_A
,WB_LI,SEX_BTSX,4.1 [4.0-4.2],4.1,2021-06-21T18:18:02+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,KOR,SEX_BTSX,4.8 [4.7-4.9],4.8,2021-06-21T19:03:55+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,TKM,SEX_BTSX,4.6 [4.3-5.0],4.6,2021-06-21T19:01:40+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,ITA,SEX_BTSX,5.0 [4.8-5.1],5.0,2021-06-21T19:04:02+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,BOL,SEX_BTSX,4.5 [4.1-4.9],4.5,2021-06-21T19:04:05+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,BDI,SEX_BTSX,3.9 [3.6-4.2],3.9,2021-06-21T19:03:27+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,ERI,SEX_BTSX,4.1 [3.9-4.4],4.1,2021-06-21T19:03:36+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,AGO,SEX_BTSX,4.1 [3.7-4.5],4.1,2021-06-21T19:02:37+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,GMB,SEX_MLE,4.0 [3.4-4.6],4.0,2021-06-21T18:27:13+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,SWE,SEX_FMLE,5.0 [4.7-5.3],5.0,2021-06-21T18:49:08+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,GBR,SEX_BTSX,5.8 [5.7-6.0],5.8,2021-06-21T19:01:40+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,SDN,SEX_BTSX,4.0 [3.8-4.2],4.0,2021-06-21T19:02:55+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,KNA,SEX_MLE,4.4 [3.9-4.9],4.4,2021-06-21T18:28:34+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,COL,SEX_MLE,4.9 [4.6-5.2],4.9,2021-06-21T18:26:42+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,UGA,SEX_MLE,3.7 [3.2-4.3],3.7,2021-06-21T18:29:19+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,CAN,SEX_MLE,5.2 [5.0-5.4],5.2,2021-06-21T18:26:37+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,HUN,SEX_FMLE,5.5 [5.3-5.8],5.5,2021-06-21T18:47:35+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,ATG,SEX_MLE,4.4 [3.8-4.9],4.4,2021-06-21T18:26:07+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,BRB,SEX_BTSX,4.3 [4.1-4.6],4.3,2021-06-21T19:03:48+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,ALB,SEX_FMLE,5.0 [4.7-5.4],5.0,2021-06-21T18:44:56+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,LBR,SEX_BTSX,4.0 [3.7-4.4],4.0,2021-06-21T19:01:48+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,GNQ,SEX_MLE,3.9 [3.3-4.6],3.9,2021-06-21T18:27:03+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,ARE,SEX_MLE,4.8 [4.4-5.3],4.8,2021-06-21T18:29:21+02:00,NCD_CHOL_MEANTOTALCHOL_A
